"ID","REPORT_DATE","BALANCE","ORIGINATION_DATE","MATURITY_DATE","BUREAU_SCORE_ORIG","DEFAULT_FLAG","LOAN_STATUS","ASSET_TYPE","SUPPLIER","CUSTOMER_TYPE"
1122198,"2016-03-31",172080.47,"2007-01-26","2030-01-26",563,0,0,"Backhoe Loader","supplier7","Business"
6870190,"2012-03-31",240027.48,"2007-08-23","2027-08-23",677,0,0,"Tractor","supplier5","Business"
8974189,"2010-09-30",116813.96,"2004-01-30","2029-01-30",478,0,0,"Backhoe Loader","supplier4","Individual"
2271691,"2011-03-31",181255.37,"2006-04-27","2031-04-27",687,0,0,"Tipping Trailer","supplier7","Business"
7138491,"2011-12-31",257285.51,"2008-02-28","2033-02-28",698,0,0,"Tractor","supplier3","Individual"
4214560,"2005-09-30",215395.23,"2005-09-08","2030-09-08",533,0,0,"Tractor","supplier4","Business"
8289767,"2014-06-30",89957.5,"2008-10-16","2025-10-16",607,0,0,"Tractor","supplier1","Individual"
3052181,"2015-06-30",136490.73,"2007-09-06","2038-09-06",562,0,0,"Tipping Trailer","supplier3","Individual"
8350529,"2008-09-30",50550.39,"2008-03-28","2033-03-28",678,0,0,"Tractor","supplier2","Individual"
1709432,"2016-06-30",159386.29,"2008-05-08","2023-05-08",700,0,0,"Tractor","supplier3","Individual"
5582397,"2007-09-30",135829,"2004-12-22","2029-12-22",604,0,0,"Tipping Trailer","supplier5","Individual"
3001945,"2009-09-30",197159.61,"2008-02-14","2029-02-14",669,0,0,"Backhoe Loader","supplier2","Individual"
7601572,"2011-03-31",69273.76,"2007-01-15","2026-01-15",738,0,0,"Tractor","supplier7","Individual"
5529710,"2016-03-31",180131.52,"2008-02-29","2033-02-28",588,0,0,"Tipping Trailer","supplier6","Business"
7470704,"2006-12-31",92914.01,"2004-02-17","2024-02-17",744,0,0,"Tipping Trailer","supplier7","Individual"
2873572,"2004-09-30",140679.68,"2004-05-04","2029-05-04",598,0,0,"Tractor","supplier2","Individual"
6250707,"2012-12-31",60385.58,"2003-07-11","2028-07-11",806,0,0,"Tractor","supplier7","Individual"
3979222,"2013-12-31",76029.44,"2005-06-15","2030-06-15",630,0,0,"Backhoe Loader","supplier3","Business"
5050171,"2014-12-31",50661.4,"2005-05-13","2025-05-13",801,0,0,"Tipping Trailer","supplier2","Individual"
9422198,"2013-03-31",99606.31,"2007-01-03","2022-01-03",583,0,0,"Tractor","supplier1","Individual"
7970386,"2010-06-30",78833.04,"2007-08-30","2032-08-30",713,0,0,"Tractor","supplier2","Individual"
8365945,"2014-03-31",82046.13,"2007-05-29","2024-05-29",810,0,0,"Tipping Trailer","supplier4","Individual"
7342171,"2008-03-31",77686.15,"2005-05-20","2030-05-20",817,0,0,"Backhoe Loader","supplier3","Individual"
2555886,"2007-03-31",239240.72,"2006-09-07","2019-09-07",722,0,0,"Backhoe Loader","supplier2","Business"
2667933,"2014-09-30",68334.61,"2006-11-30","2031-11-30",779,0,0,"Tractor","supplier5","Individual"
2271691,"2013-06-30",181243.09,"2006-04-27","2031-04-27",687,0,0,"Tipping Trailer","supplier7","Business"
1761916,"2013-03-31",50234.2,"2006-01-05","2019-01-05",697,0,0,"Tipping Trailer","supplier5","Individual"
7668263,"2005-06-30",145730.14,"2000-04-19","2025-04-19",538,0,0,"Tractor","supplier4","Individual"
1440265,"2008-03-31",204263.25,"2006-03-20","2031-03-20",824,0,0,"Backhoe Loader","supplier1","Individual"
9548231,"2009-12-31",56854.02,"2007-11-09","2032-11-09",780,0,0,"Backhoe Loader","supplier6","Individual"
8390113,"2008-03-31",183934.31,"2001-11-30","2026-11-30",716,0,0,"Backhoe Loader","supplier6","Individual"
9572198,"2013-09-30",53720.34,"2006-08-08","2031-08-08",566,0,0,"Excavator","supplier1","Business"
2271098,"2011-03-31",103161.31,"2006-12-07","2026-12-07",714,0,0,"Tipping Trailer","supplier3","Individual"
5402258,"2016-06-30",355660.91,"2003-06-26","2028-06-26",810,0,0,"Tractor","supplier3","Business"
5220007,"2010-06-30",131674.32,"2004-06-11","2029-06-11",583,0,0,"Backhoe Loader","supplier5","Individual"
3065278,"2010-06-30",91614.76,"2005-12-20","2025-12-20",775,0,0,"Tractor","supplier3","Individual"
1705213,"2012-09-30",93381.28,"2004-12-17","2024-12-17",754,0,0,"Backhoe Loader","supplier3","Individual"
9702448,"2010-06-30",159747.88,"2007-10-04","2032-10-04",727,0,0,"Tractor","supplier1","Individual"
7858859,"2015-06-30",83672.57,"2007-11-28","2026-11-28",752,0,0,"Tractor","supplier5","Individual"
7797701,"2015-03-31",59020.79,"2001-09-13","2026-09-13",785,0,0,"Tipping Trailer","supplier2","Business"
4358013,"2010-09-30",153591.35,"2007-05-11","2022-05-11",455,0,0,"Backhoe Loader","supplier6","Business"
6435279,"2011-12-31",173521.47,"2004-04-29","2024-04-29",685,0,0,"Tipping Trailer","supplier6","Individual"
2363736,"2016-03-31",78310.09,"2007-06-21","2032-06-21",782,0,0,"Backhoe Loader","supplier2","Individual"
3624425,"2008-09-30",104514.11,"2007-03-23","2032-03-23",796,0,0,"Tractor","supplier7","Individual"
9970459,"2016-06-30",75914.52,"2004-10-28","2018-10-28",488,0,0,"Backhoe Loader","supplier1","Business"
2247140,"2011-09-30",133725.87,"2008-03-14","2033-03-14",653,0,0,"Backhoe Loader","supplier1","Business"
9573998,"2016-06-30",155723.14,"2008-01-24","2023-01-24",756,0,0,"Tipping Trailer","supplier7","Individual"
8390113,"2015-03-31",183112.15,"2001-11-30","2026-11-30",716,0,0,"Backhoe Loader","supplier6","Individual"
7507023,"2013-03-31",28910.04,"1998-10-30","2018-10-30",569,0,0,"Tipping Trailer","supplier1","Business"
6807231,"2009-12-31",169189.4,"2006-11-22","2031-11-22",528,0,0,"Tipping Trailer","supplier3","Business"
6427403,"2009-09-30",355122.26,"2006-01-10","2031-01-10",696,0,0,"Tractor","supplier3","Business"
9420303,"2009-03-31",49412.18,"2004-09-06","2029-09-06",571,0,0,"Backhoe Loader","supplier2","Individual"
8645212,"2008-09-30",103581.16,"2007-01-04","2019-01-04",681,0,0,"Tractor","supplier2","Individual"
4368065,"2011-06-30",114190.97,"2007-07-26","2022-07-26",802,0,0,"Tractor","supplier1","Business"
9805854,"2009-06-30",111321.88,"2006-12-19","2031-12-19",509,0,0,"Backhoe Loader","supplier5","Individual"
3686890,"2012-09-30",101796.73,"2007-04-04","2032-04-04",657,0,0,"Backhoe Loader","supplier7","Individual"
4019498,"2009-09-30",84909.72,"2006-05-05","2031-05-05",715,0,0,"Tractor","supplier6","Business"
8543005,"2007-09-30",61019.15,"2007-06-11","2032-06-11",714,0,0,"Tipping Trailer","supplier7","Individual"
2043872,"2007-12-31",89591.55,"2007-12-14","2027-12-14",585,0,0,"Tractor","supplier2","Individual"
9489517,"2007-03-31",114889.37,"2007-01-10","2027-01-10",671,0,0,"Tractor","supplier2","Individual"
3335112,"2011-06-30",151595.17,"2004-05-17","2029-05-17",794,0,0,"Tractor","supplier6","Individual"
5087019,"2011-03-31",54400.94,"2006-10-20","2025-10-20",699,0,0,"Backhoe Loader","supplier5","Individual"
5683967,"2016-03-31",48324.8,"2005-12-19","2025-12-19",758,0,0,"Tractor","supplier1","Individual"
2590805,"2006-09-30",147978.11,"2005-03-30","2022-03-30",726,0,0,"Tipping Trailer","supplier1","Individual"
9617107,"2008-12-31",137910.09,"2005-11-03","2030-11-03",846,0,0,"Tipping Trailer","supplier6","Individual"
8974189,"2007-09-30",117834.4,"2004-01-30","2029-01-30",478,0,0,"Backhoe Loader","supplier4","Individual"
5737578,"2011-12-31",128246.03,"2007-08-24","2032-08-24",792,0,0,"Excavator","supplier4","Individual"
5402258,"2012-06-30",355690.2,"2003-06-26","2028-06-26",810,0,0,"Tractor","supplier3","Business"
9372178,"2015-12-31",96250.28,"2007-04-19","2019-04-19",641,0,0,"Tractor","supplier3","Individual"
9618872,"2015-06-30",146619.28,"2004-03-19","2029-03-19",570,0,0,"Backhoe Loader","supplier5","Business"
1576061,"2012-06-30",57288.47,"2005-07-01","2030-07-01",609,0,0,"Tractor","supplier5","Individual"
4755103,"2012-12-31",226727.69,"2007-09-21","2027-09-21",526,0,0,"Tractor","supplier2","Individual"
3199441,"2012-03-31",48537.59,"2002-06-28","2022-06-28",876,0,0,"Tractor","supplier6","Individual"
8289767,"2012-06-30",89983.79,"2008-10-16","2025-10-16",607,0,0,"Tractor","supplier1","Individual"
7970386,"2008-03-31",78819.05,"2007-08-30","2032-08-30",713,0,0,"Tractor","supplier2","Individual"
6567605,"2015-09-30",81228.92,"2005-05-16","2025-05-16",504,0,0,"Tipping Trailer","supplier2","Individual"
4784345,"2011-06-30",134924.47,"2005-11-17","2030-11-17",663,0,0,"Excavator","supplier1","Individual"
2381679,"2012-03-31",215745.19,"2008-01-03","2033-01-03",695,0,0,"Backhoe Loader","supplier6","Business"
2569489,"2007-09-30",160411.02,"2004-02-27","2021-02-27",522,0,0,"Tipping Trailer","supplier5","Individual"
7348339,"2009-12-31",116534.72,"2006-08-02","2027-08-02",679,0,0,"Backhoe Loader","supplier3","Individual"
7721794,"2012-12-31",128209.39,"2005-07-08","2025-07-08",521,0,0,"Excavator","supplier4","Individual"
9416073,"2011-12-31",66638.78,"2005-09-28","2030-09-28",748,0,0,"Backhoe Loader","supplier7","Business"
7785252,"2014-06-30",163324.15,"2005-08-15","2030-08-15",622,0,0,"Backhoe Loader","supplier7","Individual"
1057952,"2015-12-31",60637.38,"2007-12-17","2032-12-17",794,0,0,"Tractor","supplier1","Individual"
8154055,"2013-09-30",124453.35,"2003-10-16","2028-10-16",567,0,0,"Tractor","supplier5","Individual"
2026108,"2011-03-31",137353.55,"2006-02-24","2026-02-24",692,0,0,"Backhoe Loader","supplier7","Individual"
1607331,"2011-09-30",84745.03,"2006-06-06","2026-06-06",580,0,0,"Excavator","supplier5","Business"
6985640,"2010-09-30",112466.1,"2008-04-16","2033-04-16",455,0,0,"Tractor","supplier2","Business"
6552739,"2007-12-31",126131.65,"2006-12-21","2026-12-21",606,0,0,"Tractor","supplier3","Individual"
4784345,"2016-03-31",134901.6,"2005-11-17","2030-11-17",663,0,0,"Excavator","supplier1","Individual"
8390113,"2013-03-31",183137.27,"2001-11-30","2026-11-30",716,0,0,"Backhoe Loader","supplier6","Individual"
4019498,"2009-03-31",84949.04,"2006-05-05","2031-05-05",715,0,0,"Tractor","supplier6","Business"
9997351,"2008-09-30",152088.98,"2008-05-01","2033-05-01",712,0,0,"Tipping Trailer","supplier7","Individual"
3344068,"2007-12-31",187028.69,"2003-07-15","2028-07-15",548,0,0,"Excavator","supplier2","Individual"
7747937,"2015-12-31",45859.62,"2007-05-03","2032-05-03",845,0,0,"Backhoe Loader","supplier3","Individual"
9393494,"2015-06-30",144316.72,"2008-03-19","2033-03-19",744,0,0,"Tipping Trailer","supplier2","Business"
9617107,"2011-12-31",137605.96,"2005-11-03","2030-11-03",846,0,0,"Tipping Trailer","supplier6","Individual"
4636274,"2008-09-30",130159.77,"2006-02-24","2026-02-24",677,0,0,"Backhoe Loader","supplier7","Individual"
9372178,"2007-09-30",96636.8,"2007-04-19","2019-04-19",641,0,0,"Tractor","supplier3","Individual"
7874262,"2010-12-31",71323.79,"2006-03-06","2031-03-06",597,0,0,"Tractor","supplier3","Business"
1575187,"2012-03-31",151627.45,"2001-02-06","2026-02-06",663,0,0,"Backhoe Loader","supplier2","Business"
9572666,"2012-09-30",105194.99,"2007-07-17","2027-07-17",540,0,0,"Backhoe Loader","supplier4","Individual"
8330228,"2008-09-30",175362.48,"2007-10-26","2017-10-26",753,0,0,"Tractor","supplier2","Business"
9997351,"2010-12-31",151638.19,"2008-05-01","2033-05-01",712,0,0,"Tipping Trailer","supplier7","Individual"
8151918,"2006-09-30",93667.64,"2005-03-23","2030-03-23",548,0,0,"Backhoe Loader","supplier1","Individual"
1057952,"2009-12-31",65922.28,"2007-12-17","2032-12-17",794,0,0,"Tractor","supplier1","Individual"
1490440,"2011-03-31",98487.35,"2001-02-23","2026-02-23",731,0,0,"Tractor","supplier5","Individual"
7822707,"2005-09-30",87990.68,"2003-10-24","2018-10-24",830,0,0,"Backhoe Loader","supplier5","Individual"
8035048,"2007-12-31",87029.65,"2007-10-12","2032-10-12",842,0,0,"Backhoe Loader","supplier6","Individual"
2648207,"2011-12-31",154191.87,"2007-03-26","2027-03-26",587,0,0,"Tractor","supplier5","Individual"
6242733,"2013-12-31",105069.75,"2006-10-12","2029-10-12",773,0,0,"Backhoe Loader","supplier2","Individual"
9405157,"2011-09-30",129242.48,"2006-11-28","2016-11-28",484,0,0,"Excavator","supplier4","Business"
5756921,"2010-09-30",58588.32,"2004-11-30","2023-11-30",507,0,0,"Tipping Trailer","supplier1","Individual"
8380834,"2006-12-31",52254.42,"2006-03-02","2026-03-02",584,0,0,"Backhoe Loader","supplier6","Individual"
3168785,"2008-12-31",81131.49,"2007-08-08","2027-08-08",712,0,0,"Tractor","supplier6","Individual"
6219120,"2010-12-31",80841.05,"2005-11-11","2030-11-11",722,0,0,"Tractor","supplier2","Individual"
4925040,"2009-09-30",65944.45,"2007-04-13","2022-04-13",867,0,0,"Tractor","supplier4","Individual"
2819239,"2012-06-30",138147.04,"2008-04-07","2018-04-07",596,0,0,"Excavator","supplier5","Individual"
7131813,"2015-06-30",68533.17,"2005-03-16","2030-03-16",554,0,0,"Tractor","supplier5","Individual"
9927984,"2013-09-30",113593.78,"2004-07-13","2024-07-13",619,0,0,"Tractor","supplier4","Individual"
4361530,"2016-09-30",101115.14,"2006-02-03","2031-02-03",522,0,0,"Tractor","supplier5","Individual"
8149853,"2013-03-31",79271.35,"2003-04-08","2028-04-08",815,0,0,"Backhoe Loader","supplier3","Individual"
3979222,"2010-03-31",76069.33,"2005-06-15","2030-06-15",630,0,0,"Backhoe Loader","supplier3","Business"
1122198,"2014-06-30",172087.57,"2007-01-26","2030-01-26",563,0,0,"Backhoe Loader","supplier7","Business"
1478796,"2014-06-30",103283.25,"2006-09-22","2021-09-22",509,0,0,"Backhoe Loader","supplier4","Business"
2909654,"2011-03-31",137414.68,"2007-10-25","2018-10-25",593,0,0,"Tractor","supplier3","Business"
7319257,"2008-03-31",101901.71,"2005-12-05","2030-12-05",867,0,0,"Tractor","supplier2","Individual"
1049603,"2016-06-30",496394.82,"2005-11-22","2019-11-22",526,0,0,"Tipping Trailer","supplier4","Business"
5087019,"2014-12-31",54397.07,"2006-10-20","2025-10-20",699,0,0,"Backhoe Loader","supplier5","Individual"
8035953,"2012-06-30",94316.62,"2007-03-08","2022-03-08",578,0,0,"Tractor","supplier3","Individual"
9405157,"2014-03-31",129243.26,"2006-11-28","2016-11-28",484,0,0,"Excavator","supplier4","Business"
7546889,"2008-06-30",50835.08,"1999-11-01","2019-11-01",708,0,0,"Tipping Trailer","supplier1","Individual"
2202960,"2006-09-30",122162.52,"2005-04-15","2028-04-15",491,0,0,"Backhoe Loader","supplier7","Business"
8679181,"2008-03-31",82103.53,"2005-03-30","2030-03-30",691,0,0,"Backhoe Loader","supplier4","Individual"
6138311,"2009-09-30",152133.27,"2008-06-30","2028-06-30",625,0,0,"Backhoe Loader","supplier5","Individual"
8154055,"2013-03-31",124455.21,"2003-10-16","2028-10-16",567,0,0,"Tractor","supplier5","Individual"
8365945,"2015-09-30",82040.53,"2007-05-29","2024-05-29",810,0,0,"Tipping Trailer","supplier4","Individual"
1325369,"2008-06-30",114274.39,"2006-11-17","2021-11-17",780,0,0,"Tractor","supplier4","Business"
5328595,"2010-06-30",120853.89,"2008-04-24","2033-04-24",795,0,0,"Tipping Trailer","supplier5","Individual"
4092637,"2008-06-30",49238.6,"2003-07-08","2028-07-08",516,0,0,"Tractor","supplier7","Business"
9695574,"2007-03-31",139051.17,"2005-01-25","2025-01-25",716,0,0,"Tipping Trailer","supplier1","Individual"
5090952,"2015-03-31",108002.61,"2006-03-07","2025-03-07",628,0,0,"Backhoe Loader","supplier5","Individual"
9685201,"2005-06-30",56095.87,"2005-02-17","2020-02-17",596,0,0,"Backhoe Loader","supplier4","Individual"
7858859,"2016-06-30",82833.96,"2007-11-28","2026-11-28",752,0,0,"Tractor","supplier5","Individual"
3335112,"2009-06-30",151606.93,"2004-05-17","2029-05-17",794,0,0,"Tractor","supplier6","Individual"
8833828,"2015-09-30",116450.25,"2007-10-19","2022-10-19",553,0,0,"Tractor","supplier3","Individual"
8867072,"2008-12-31",262447.09,"2007-11-26","2037-11-26",499,0,0,"Tractor","supplier3","Individual"
1213379,"2013-12-31",201570.51,"2007-11-02","2027-11-02",560,0,0,"Backhoe Loader","supplier6","Individual"
8970977,"2008-12-31",97333.34,"2006-05-11","2026-05-11",578,0,0,"Tractor","supplier3","Business"
6187834,"2009-12-31",153034.02,"2008-02-08","2030-02-08",497,0,0,"Tipping Trailer","supplier2","Individual"
9245838,"2008-03-31",78513.43,"2007-11-20","2032-11-20",771,0,0,"Backhoe Loader","supplier5","Individual"
6942780,"2005-06-30",215697.88,"2005-05-26","2030-05-26",830,0,0,"Tractor","supplier2","Individual"
4211382,"2010-12-31",69419.5,"2007-11-22","2027-11-22",601,0,0,"Tractor","supplier7","Individual"
7507023,"2010-03-31",41320.73,"1998-10-30","2018-10-30",569,0,0,"Tipping Trailer","supplier1","Business"
1816402,"2011-12-31",106428.79,"2004-07-30","2029-07-30",540,0,0,"Tractor","supplier5","Individual"
4165847,"2012-06-30",177746.49,"2004-07-01","2019-07-01",813,0,0,"Backhoe Loader","supplier2","Individual"
9093879,"2006-06-30",86033.81,"2006-01-10","2026-01-10",837,0,0,"Backhoe Loader","supplier5","Business"
1196781,"2007-09-30",173069.96,"2005-11-30","2030-11-30",582,0,0,"Backhoe Loader","supplier1","Business"
4794176,"2006-12-31",72293.31,"2005-12-21","2025-12-21",832,0,0,"Tractor","supplier7","Individual"
9827652,"2009-09-30",84087.72,"2004-08-05","2029-08-05",629,0,0,"Tractor","supplier5","Individual"
4755103,"2010-09-30",226764.34,"2007-09-21","2027-09-21",526,0,0,"Tractor","supplier2","Individual"
5728341,"2010-03-31",84323.99,"2007-06-12","2022-06-12",519,0,0,"Tipping Trailer","supplier5","Individual"
6138311,"2014-06-30",151614.41,"2008-06-30","2028-06-30",625,0,0,"Backhoe Loader","supplier5","Individual"
3680894,"2009-12-31",168245.19,"2007-05-09","2023-05-09",637,0,0,"Backhoe Loader","supplier3","Individual"
7822707,"2009-12-31",87581.51,"2003-10-24","2018-10-24",830,0,0,"Backhoe Loader","supplier5","Individual"
4278656,"2013-12-31",77495.75,"2005-06-17","2020-06-17",655,0,0,"Backhoe Loader","supplier5","Individual"
7546889,"2010-03-31",50637.05,"1999-11-01","2019-11-01",708,0,0,"Tipping Trailer","supplier1","Individual"
5056765,"2010-06-30",161633.25,"2008-08-05","2028-08-05",561,0,0,"Excavator","supplier2","Business"
1502661,"2015-06-30",39136.97,"2004-11-03","2020-11-03",663,0,0,"Tractor","supplier7","Individual"
7945352,"2006-12-31",107754.36,"2006-10-31","2026-10-31",682,0,0,"Tractor","supplier3","Business"
9326007,"2012-09-30",566399.09,"2007-01-30","2032-01-30",684,0,0,"Tipping Trailer","supplier2","Individual"
8927836,"2011-12-31",100040.49,"2007-01-03","2032-01-03",633,0,0,"Backhoe Loader","supplier7","Business"
5756921,"2016-03-31",58580.81,"2004-11-30","2023-11-30",507,0,0,"Tipping Trailer","supplier1","Individual"
5758632,"2015-03-31",108271.74,"2007-11-27","2032-11-27",657,0,0,"Tractor","supplier4","Business"
2271691,"2010-09-30",181261.34,"2006-04-27","2031-04-27",687,0,0,"Tipping Trailer","supplier7","Business"
2908199,"2007-09-30",69360.06,"2006-05-12","2019-05-12",631,0,0,"Tractor","supplier6","Individual"
1191534,"2010-03-31",131001.3,"2004-08-31","2029-08-31",814,0,0,"Tractor","supplier2","Business"
8907718,"2008-03-31",107752.37,"2004-05-24","2029-05-24",588,0,0,"Backhoe Loader","supplier3","Individual"
3028691,"2012-09-30",160902.36,"2008-04-01","2022-04-01",583,0,0,"Tractor","supplier6","Business"
7707269,"2012-06-30",320281.26,"2007-12-13","2032-12-13",478,0,0,"Backhoe Loader","supplier3","Business"
7797701,"2007-09-30",59331.81,"2001-09-13","2026-09-13",785,0,0,"Tipping Trailer","supplier2","Business"
5703330,"2012-06-30",77464.61,"2008-01-25","2028-01-25",707,0,0,"Tractor","supplier4","Business"
6125603,"2012-06-30",91523.47,"2000-04-14","2020-04-14",650,0,0,"Tractor","supplier4","Business"
6480925,"2009-06-30",73007.3,"2006-11-17","2029-11-17",601,0,0,"Backhoe Loader","supplier2","Business"
1430522,"2007-03-31",28614.93,"1997-05-23","2022-05-23",815,0,0,"Tractor","supplier6","Business"
5171365,"2013-03-31",283080.64,"2007-06-08","2032-06-08",735,0,0,"Tractor","supplier6","Individual"
8329561,"2015-09-30",184758.3,"2007-11-02","2032-11-02",668,0,0,"Tractor","supplier5","Business"
6125603,"2015-06-30",91505.74,"2000-04-14","2020-04-14",650,0,0,"Tractor","supplier4","Business"
6763789,"2012-03-31",237608.26,"2005-12-20","2030-12-20",556,0,0,"Excavator","supplier3","Individual"
6921285,"2010-12-31",110961.85,"2005-12-21","2030-12-21",637,0,0,"Tractor","supplier7","Business"
7797701,"2005-06-30",91317.17,"2001-09-13","2026-09-13",785,0,0,"Tipping Trailer","supplier2","Business"
9573998,"2010-06-30",155806.32,"2008-01-24","2023-01-24",756,0,0,"Tipping Trailer","supplier7","Individual"
7546889,"2015-12-31",50621.73,"1999-11-01","2019-11-01",708,0,0,"Tipping Trailer","supplier1","Individual"
2381679,"2009-09-30",216430.7,"2008-01-03","2033-01-03",695,0,0,"Backhoe Loader","supplier6","Business"
1761281,"2012-09-30",136980.95,"2007-11-30","2017-11-30",878,0,0,"Excavator","supplier3","Business"
1576061,"2008-09-30",67859.71,"2005-07-01","2030-07-01",609,0,0,"Tractor","supplier5","Individual"
5601615,"2014-09-30",12096.02,"1998-03-31","2023-03-31",610,0,0,"Backhoe Loader","supplier5","Business"
5384947,"2016-06-30",172797.61,"2005-10-27","2029-10-27",835,0,0,"Tractor","supplier1","Business"
1302255,"2008-06-30",61108.7,"2005-07-21","2030-07-21",560,0,0,"Tipping Trailer","supplier6","Business"
3774255,"2012-03-31",156226.34,"2008-05-07","2030-05-07",512,0,0,"Excavator","supplier5","Individual"
5133941,"2007-03-31",60691.29,"2006-07-19","2021-07-19",745,0,0,"Tractor","supplier7","Individual"
4044724,"2011-12-31",188066.44,"2004-05-06","2029-05-06",719,0,0,"Backhoe Loader","supplier5","Business"
1685040,"2013-09-30",531348.61,"2007-10-19","2032-10-19",805,0,0,"Tractor","supplier6","Individual"
5758632,"2014-06-30",108281.43,"2007-11-27","2032-11-27",657,0,0,"Tractor","supplier4","Business"
3517988,"2012-06-30",91376.09,"2006-10-27","2024-10-27",825,0,0,"Tractor","supplier7","Individual"
4636839,"2010-03-31",191347.09,"2006-07-07","2025-07-07",868,0,0,"Backhoe Loader","supplier6","Individual"
8679181,"2014-12-31",81789.64,"2005-03-30","2030-03-30",691,0,0,"Backhoe Loader","supplier4","Individual"
7858859,"2008-12-31",83526.31,"2007-11-28","2026-11-28",752,0,0,"Tractor","supplier5","Individual"
7436518,"2013-03-31",456385.26,"2007-05-10","2032-05-10",768,0,0,"Excavator","supplier2","Business"
1838726,"2008-03-31",76153.84,"2007-08-17","2032-08-17",838,0,0,"Tractor","supplier4","Individual"
6840387,"2015-12-31",93794.3,"2007-01-25","2032-01-25",757,0,0,"Tractor","supplier2","Individual"
7735494,"2008-03-31",84059.62,"2006-01-23","2031-01-23",813,0,0,"Tipping Trailer","supplier7","Individual"
3089797,"2009-09-30",236020.24,"2007-11-21","2032-11-21",650,0,0,"Tipping Trailer","supplier5","Business"
1364788,"2014-09-30",82099.74,"2008-07-18","2020-07-18",846,0,0,"Tractor","supplier2","Individual"
4193634,"2011-09-30",148401,"2007-06-26","2027-06-26",866,0,0,"Backhoe Loader","supplier6","Individual"
2913968,"2010-12-31",217546.7,"2008-05-08","2033-05-08",674,0,0,"Backhoe Loader","supplier6","Individual"
9168504,"2006-03-31",44020.37,"2005-07-14","2030-07-14",724,0,0,"Tractor","supplier2","Business"
2221975,"2016-09-30",101013.54,"2008-02-13","2033-02-13",616,0,0,"Excavator","supplier7","Business"
5259670,"2007-09-30",76378.14,"2006-12-20","2016-12-20",460,0,0,"Tipping Trailer","supplier7","Business"
6219279,"2010-09-30",97678.02,"2004-09-30","2029-09-30",719,0,0,"Excavator","supplier7","Business"
1253360,"2008-03-31",128512.98,"2007-05-10","2032-05-10",484,0,0,"Backhoe Loader","supplier7","Individual"
1744518,"2011-03-31",135967.71,"2008-02-12","2033-02-12",504,0,0,"Backhoe Loader","supplier7","Business"
8013933,"2014-12-31",140722.76,"2007-02-13","2032-02-13",743,0,0,"Backhoe Loader","supplier1","Individual"
1357352,"2009-03-31",88119.8,"2004-03-25","2024-03-25",605,0,0,"Backhoe Loader","supplier3","Individual"
1196781,"2016-06-30",153524.22,"2005-11-30","2030-11-30",582,0,0,"Backhoe Loader","supplier1","Business"
7163052,"2010-06-30",165014.52,"2007-08-17","2032-08-17",586,0,0,"Backhoe Loader","supplier4","Business"
1705213,"2005-09-30",92697.8,"2004-12-17","2024-12-17",754,0,0,"Backhoe Loader","supplier3","Individual"
8499800,"2016-03-31",238586.56,"2008-05-22","2033-05-22",626,0,0,"Tractor","supplier2","Business"
5319346,"2009-12-31",129061.33,"2002-07-10","2017-07-10",771,0,0,"Backhoe Loader","supplier3","Business"
8149853,"2005-09-30",79642.46,"2003-04-08","2028-04-08",815,0,0,"Backhoe Loader","supplier3","Individual"
1057952,"2013-06-30",60940.71,"2007-12-17","2032-12-17",794,0,0,"Tractor","supplier1","Individual"
